qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"0","68",Collarín,San Antonio,"Collarin 4""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312095013803.jpg,Derivación para punto de muestreo,1050,PVC,,Derivación,4,4,0.5,821906.13,1054144.64,./0.png
"1","101",Collarín,San Antonio,,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,2,2,0.5,822237.17,1054911.28,./0.png
"2","29",Collarín,San Antonio,Collarín con salida,Existente,No,Ninguna,Bueno,,Derivación conexión finca,1128,PVC,,Conduce agua potable,6,6,0.5,820773.12,1052513.8,./0.png
"3","30",Collarín,San Antonio,"Collarin salida 3/4""",Existente,No,Ninguna,Bueno,,Lleva agua para 4 fincas,1109,PVC,,Conduce agua potable,6,6,0.5,820819.49,1052565.64,./0.png
"4","32",Collarín,San Antonio,"Collarin 6"" a 1/2""",Existente,No,Ninguna,Bueno,,Derivación,1100,PVC,,Derivación,6,6,0.5,820831.58,1052761.79,./0.png
"5","33",Collarín,San Antonio,"Collarín 6"" a 1/2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305094045520.jpg,Derivación,1080,PVC,,Derivación,6,6,0.5,820935.35,1052776.91,./0.png
"6","35",Collarín,San Antonio,"Collarín 6"" a 3/4""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305094845207.jpg,Derivación parcelación la campiña,1048,PVC,,Conduce agua potable,6,,,821352.96,1053014.91,./0.png
"7","40",Collarín,San Antonio,"Collarin de 4"" a 3/4""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305104329457.jpg,Centro glorieta,1044,PVC,,Conduce agua potable,4,,,821887.04,1053971.1,./0.png
"8","53",Collarín,San Antonio,"Collarin de 4"" para hacienda los mangos",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305123930856.jpg,"Derivación  para hacienda los mangos sale en 3/4""",1081,PVC,,Conduce agua potable,4,,,821295.74,1055875.12,./0.png
"9","54",Collarín,San Antonio,"Collarín de 2"" salida 3/4""",Existente,No,Ninguna,Bueno,,,1027,PVC,,Conduce agua potable,2,,,821517.97,1055292.65,./0.png
"10","60",Collarín,San Antonio,"Collarín 4""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210309103404025.jpg,Hay dos en el mismo punto,1043,PVC,,Derivación,4,4,0.75,821775.03,1053854.77,./0.png
"11","65",Collarín,San Antonio,"Collarín 4""",Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,4,4,0.75,821775.03,1053854.77,./0.png
"12","73",Collarín,San Antonio,"Collarín  de 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312111336445.jpg,Derivacion para conjunto,1031,PVC,,Derivación,2,2,0.75,821969.48,1054730.83,./0.png
"13","74",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312112928643.jpg,Une con la linea del otro collarin de la entrada deriva en 3/4 pero amplia a pulgada,1021,PVC,,Derivación,2,2,0.75,821868.85,1054814.48,./0.png
"14","106",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,Lleva agua al CAI,1036,PVC,,Derivación,3,3,0.75,822279.98,1054100.39,./0.png
"15","114",Collarín,San Antonio,"Collarín 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210318143034855.jpg,,1038,PVC,,Derivación,2,2,0.75,823109.38,1053787.43,./0.png
"16","123",Collarín,San Antonio,"Collarín 2""",Existente,No,Ninguna,Bueno,,Para punto de muestreo,1084,PVC,,Derivación,2,2,0.5,821234.99,1056265.28,./0.png
"17","124",Collarín,San Antonio,"Collarín 3""",Existente,No,Ninguna,Bueno,,,1084,PVC,,Derivación,3,3,0.75,821234.01,1056265.67,./0.png
"18","128",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,Acometida,1071,PVC,,Otro,3,3,0.5,821335.95,1056644.63,./0.png
"19","129",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,Acometida,1071,PVC,,Otro,3,3,0.5,821336.25,1056644.7,./0.png
"20","134",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,0.75,821277.57,1054430.84,./0.png
