qc_id,gid,acueducto,serial,marcamedid,clasemedid,tipomedido,diametro_p,fecha_ins,usuario,cod_predio,cota,observacio,icon_url
"0","335",San Antonio,"5015",Otro,Micromedidor,Volumétrico,0.5,,"10000210",,1041,,./0.png
"1","336",San Antonio,"14088",Otro,Micromedidor,Volumétrico,0.5,,"10000220",,1041,"Viene de tub 3""",./0.png
"2","337",San Antonio,"5072",Otro,Micromedidor,Volumétrico,0.5,,"10001470",,1041,Viene del conjunto aeropuerto en 3/4,./0.png
"3","338",San Antonio,"31980",Otro,Micromedidor,Volumétrico,0.5,,"10001460",,1041,,./0.png
"4","339",San Antonio,"5073",Otro,Micromedidor,Volumétrico,0.5,,"10001510",,1043,Viene del conjunto Aeropuerto en lin 3/4,./0.png
"5","340",San Antonio,"0228464",Otro,Micromedidor,Volumétrico,0.5,,"10001490",,1046,Viene del conj aeropuerto en lin 3/4,./0.png
"6","341",San Antonio,"16029670",Otro,Micromedidor,Volumétrico,0.5,,"10000240",,1038,"Viene por debajo de la de 2""",./0.png
"7","342",San Antonio,"264589",Otro,Micromedidor,Volumétrico,0.5,,"10001520",,1044,Estaba en la mitad del lindero. Lo sacaron y la tub llega la medidor en 1/2 y regresa a la casa,./0.png
"8","343",San Antonio,"31700",Otro,Micromedidor,Volumétrico,0.5,,"10001515",,1042,,./0.png
"9","344",San Antonio,"32348",Otro,Micromedidor,Volumétrico,0.5,,"10000330",,1035,"Viene de una tuberia de 2"" viene en 1""",./0.png
"10","345",San Antonio,"450",Otro,Micromedidor,Volumétrico,0.5,,"10000335",,1037,Llega en tun 1/2,./0.png
"11","346",San Antonio,"31701",Otro,Micromedidor,Volumétrico,0.5,,"10000336",,1039,"Viene de la tub 1"" qur luego de la primera casa reduce a 3/4 y va en lin de 1/2",./0.png
"12","348",San Antonio,"40388",Otro,Micromedidor,Volumétrico,0.5,,"10000340",,1038,,./0.png
"13","351",San Antonio,"16029014",Otro,Micromedidor,Volumétrico,0.5,,"10000260",,1039,,./0.png
"14","352",San Antonio,"3227",Otro,Micromedidor,Volumétrico,0.5,,"10000230",,1038,,./0.png
"15","353",San Antonio,"330",Otro,Micromedidor,Volumétrico,0.5,,"10000250",,1035,,./0.png
"16","354",San Antonio,"40390",Otro,Micromedidor,Volumétrico,0.5,,"10000270",,1036,,./0.png
"17","355",San Antonio,"40422",Otro,Micromedidor,Volumétrico,0.5,,"10000271",,1034,,./0.png
"18","356",San Antonio,"40394",Otro,Micromedidor,Volumétrico,0.5,,"10000275",,1033,,./0.png
"19","357",San Antonio,"2070",Otro,Micromedidor,Volumétrico,0.5,,"10000280",,1035,,./0.png
"20","359",San Antonio,"16027078",Otro,Micromedidor,Volumétrico,0.5,,"10000310",,1038,,./0.png
"21","358",San Antonio,"40393",Otro,Micromedidor,Volumétrico,0.5,,"10000290",,1037,,./0.png
"22","349",San Antonio,"31978",Water meter,Micromedidor,Volumétrico,0.5,,"10001540",,1040,Viene lim 3/4,./0.png
"23","3",San Antonio,ND,Otro,Macromedidor,Ultrasónico,6,,"10000000",,1127,En funcionamiento Water Meter,./0.png
"24","16",San Antonio,ND011,Aquaforjas,Micromedidor,Volumétrico,0.5,,"10002490",,1030,Aquaforjas,./0.png
"25","9",San Antonio,ND,Otro,Macromedidor,Volumétrico,3,,"10000000",,1055,Pendiente identificar tipo de medidor,./0.png
"26","15",San Antonio,"9021",Aquaforjas,Micromedidor,Volumétrico,0.5,,"10001180",,1022,Acuaforjas,./0.png
"27","19",San Antonio,"16029008",Water meter,Micromedidor,Ultrasónico,0.5,,"10002660",,979,,./0.png
"28","360",San Antonio,"31970",Otro,Micromedidor,Volumétrico,0.5,,"10000300",,1031,,./0.png
"29","361",San Antonio,"0168570",Otro,Micromedidor,Volumétrico,0.5,,"10000341",,1034,,./0.png
"30","362",San Antonio,"0228462",Otro,Micromedidor,Volumétrico,0.5,,"10000305",,1038,,./0.png
"31","363",San Antonio,"16029152",Otro,Micromedidor,Volumétrico,0.5,,"10000370",,1033,,./0.png
"32","364",San Antonio,"40395",Otro,Micromedidor,Volumétrico,0.5,,"10000350",,1036,,./0.png
"33","365",San Antonio,"40418",Otro,Micromedidor,Volumétrico,0.5,,"10000360",,1038,,./0.png
"34","366",San Antonio,"64852",Otro,Micromedidor,Volumétrico,0.5,,"10000490",,1029,,./0.png
"35","367",San Antonio,"184376",Otro,Micromedidor,Volumétrico,0.5,,"10000478",,1027,,./0.png
"36","368",San Antonio,"58779",Otro,Micromedidor,Volumétrico,0.5,,"10000510",,1021,,./0.png
"37","369",San Antonio,"58701",Otro,Micromedidor,Volumétrico,0.5,,"10000480",,1021,,./0.png
"38","371",San Antonio,"2013",Otro,Micromedidor,Volumétrico,0.5,,"10000522",,1019,,./0.png
"39","372",San Antonio,"5016",Otro,Micromedidor,Volumétrico,0.5,,"10000520",,1018,,./0.png
"40","373",San Antonio,"14068",Otro,Micromedidor,Volumétrico,0.5,,"10000527",,1030,,./0.png
"41","374",San Antonio,"40432",Otro,Micromedidor,Volumétrico,0.5,,"10000525",,1030,,./0.png
"42","350",San Antonio,"64857",Otro,Micromedidor,Volumétrico,0.5,,"10001550",,1039,Viene de landr 3/4 frente al medixor de carlos Alberto Ospina queda el medidor. Lo sacaron a la via y hace el retorno a la casa en 1/2,./0.png
"43","173",San Antonio,"16000813",Water meter,Micromedidor,Volumétrico,0.5,,"10000553",,1042,,./0.png
"44","174",San Antonio,"16000804",Water meter,Micromedidor,Volumétrico,0.5,,"10000552",,1042,,./0.png
"45","176",San Antonio,"16000816",Water meter,Micromedidor,Volumétrico,0.5,,"10000551",,1043,,./0.png
"46","177",San Antonio,"16000808",Water meter,Micromedidor,Volumétrico,0.5,,"10000549",,1044,,./0.png
"47","27",San Antonio,"0266492",Otro,Micromedidor,Volumétrico,0.5,,"10002520",,1046,,./0.png
"48","28",San Antonio,"31964",Otro,Micromedidor,Volumétrico,0.5,,"10002526",,1071,REPETIDO?,./0.png
"49","4",San Antonio,ND,Otro,Macromedidor,Ultrasónico,3,,"10000000",,1127,En funcionamiento marca Water meter,./0.png
