qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"0","477",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1036,PVC,,Derivación,0.75,0.75,0.5,822269.12,1054102.72,./0.png
"1","481",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1007,PVC,,Derivación,1,1,0.5,823503.99,1053914.31,./0.png
"2","78",TEE,San Antonio,"Tee 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312120714892.jpg,,1029,PVC,,Derivación,2,2,1,821932.63,1054809.59,./0.png
"3","80",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,"Cierra anillo linea de 3"" desde planta",1036,PVC,,Derivación,1.5,1.25,1.28,821173.94,1053864.3,./0.png
"4","89",TEE,San Antonio,"Tee de 3""",Existente,No,Ninguna,Bueno,,,1053,PVC,,Derivación,3,3,,821268.95,1053016.67,./0.png
"5","104",TEE,San Antonio,"Tee 1""",Existente,No,Ninguna,Bueno,,Acometida,1022,PVC,,Otro,1,1,0.5,822434.94,1055397.83,./0.png
"6","117",TEE,San Antonio,"Tee 1/2""",Existente,No,Ninguna,Bueno,,Acometida,971,PVC,,Derivación,0.5,0.5,0.5,823839,1053874.15,./0.png
"7","132",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1108,PVC,,Derivación,1.5,1.5,0.5,820899.74,1052501.83,./0.png
"8","31",TEE,San Antonio,"Tee con reducción  a 3""",Existente,No,Ninguna,Bueno,,,1104,PVC,,Derivación,6,,,820789.49,1052720.87,./0.png
"9","198",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1031,PVC,,Derivación,1.5,1.5,0.5,821592.1,1054603.01,./0.png
"10","199",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,1.5,1.5,0.5,821592.1,1054603.01,./0.png
"11","34",TEE,San Antonio,Tee condominio brisas,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305094525957.jpg,"Derivacion condominio brisas de 6"" a 3""",1058,PVC,,Derivación,6,,,821283.85,1052971.18,./0.png
"12","38",TEE,San Antonio,Tee condominio villas del café,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305102143102.jpg,"De 4""",1046,PVC,,Derivación,4,,,821887.25,1053861.7,./0.png
"13","44",TEE,San Antonio,"Tee 3"" a 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305110819519.jpg,"Entra en 3"" y sale en 2"" tanto la principal como la derivación",1032,PVC,,Derivación,3,2,2,821690.61,1054574.19,./0.png
"14","45",TEE,San Antonio,Tee 2 condominio Sierra Verde,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305111245154.jpg,"Entra en 2"", derivación  en 1 1/2"" y continúa en 2""",1031,PVC,,Conduce agua potable,2,2,1.2,821620.96,1054616.12,./0.png
"15","46",TEE,San Antonio,"Tee 2"" cierre anillo",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305111928747.jpg,"Tee de 2"" recibe el anillo que inició con la tee de 4"" junto a la Válvula dañada",1033,PVC,,Derivación,2,2,2,821531.02,1054701.84,./0.png
"16","57",TEE,San Antonio,"Tee 4"" galvanizada",Existente,No,Ninguna,Bueno,,Derivación de para la Válvula de purga,1039,Galvanizado,,Derivación,4,4,4,821651.9,1054158.5,./0.png
"17","62",TEE,San Antonio,"Tee union lineas 3/4""",Existente,No,Ninguna,Bueno,,Dos tee,1043,PVC,,Derivación,0.75,0.75,1,821774.97,1053853.86,./0.png
"18","63",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210309111254535.jpg,"Tee que une con la linea de 1""",1047,PVC,,Derivación,1.25,1.25,1,821609.5,1053866.3,./0.png
"19","64",TEE,San Antonio,Tee recibe derivación,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210309111557607.jpg,"Recibe derivación de la linea de 1 1/4""",1047,PVC,,Derivación,1,1,1,821610.6,1053842.23,./0.png
"20","70",TEE,San Antonio,"Tee 4""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312110147025.jpg,"Reduce a 3"" en las dos salidas",1036,PVC,,Derivación,4,3,3,822160.14,1054313.7,./0.png
"21","72",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312111104123.jpg,,1033,PVC,,Derivación,2,2,2,821969.48,1054730.83,./0.png
"22","77",TEE,San Antonio,"Tee 1""",Existente,No,Ninguna,Bueno,,Cierra el anillo desde los collarines,1018,PVC,,Derivación,1,1,0.75,821847.81,1054648.21,./0.png
"23","82",TEE,San Antonio,"Tee 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312144305700.jpg,,1048,PVC,,Derivación,2,2,2,820824.24,1053740.35,./0.png
"24","83",TEE,San Antonio,"Tee 3""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210312144711085.jpg,,1053,PVC,,Derivación,3,3,1.5,820766.44,1053695.26,./0.png
"25","87",TEE,San Antonio,"Tee 3""",Existente,No,Ninguna,Bueno,,,1108,PVC,,Derivación,3,3,2,820712.33,1052781.17,./0.png
"26","90",TEE,San Antonio,"Tee de 3""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210316111004677.jpg,,1056,PVC,,Derivación,3,3,0.5,821231.82,1053065.37,./0.png
"27","91",TEE,San Antonio,"Tee 3""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210316112555258.jpg,Cruce de Vía,1064,PVC,,Derivación,3,3,3,820959.31,1053102.55,./0.png
"28","92",TEE,San Antonio,"Tee 3""",Existente,No,Ninguna,Bueno,,,1068,PVC,,Derivación,3,3,3,821091.27,1052955.66,./0.png
"29","93",TEE,San Antonio,"Tee 2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210316133558897.jpg,,1049,PVC,,Derivación,2,2,2,821008.55,1053326.54,./0.png
"30","95",TEE,San Antonio,"Tee 2""",Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,,,820999.42,1053280.1,./0.png
"31","96",TEE,San Antonio,"Tee 2""",Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,2,820995.5,1053261.02,./0.png
